Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Fuse Complete Orders,Chrome 74.0.3729.169,,,2019-05-29 10:33:50,2019-05-29 10:35:41,1m - 50.691s,INCOMPLETE
,,,,,,,
Test Cases/Fuse/Embarq,Chrome 74.0.3729.169,,,2019-05-29 10:33:50,2019-05-29 10:34:10,20.101s,PASSED
"openBrowser(""http://uatfuse.clearlink.com"")",Chrome 74.0.3729.169,,,2019-05-29 10:33:50,2019-05-29 10:33:55,4.381s,PASSED
"setText(findTestObject(""Page_Clearlink Authentication/input_to Insurance_usr""), ""scott.patterson@clearlink.com"")",Chrome 74.0.3729.169,,,2019-05-29 10:33:55,2019-05-29 10:33:55,0.314s,PASSED
"setText(findTestObject(""Page_Clearlink Authentication/input_to Insurance_pwd""), ""Homer4ver"")",Chrome 74.0.3729.169,,,2019-05-29 10:33:55,2019-05-29 10:33:55,0.154s,PASSED
"click(findTestObject(""Page_Clearlink Authentication/button_Login""))",Chrome 74.0.3729.169,,,2019-05-29 10:33:55,2019-05-29 10:33:59,4.182s,PASSED
"click(findTestObject(""Page_ Fuse (Scott Patterson)/a_ENCR""))",Chrome 74.0.3729.169,,,2019-05-29 10:33:59,2019-05-29 10:34:00,0.662s,PASSED
switchToWindowIndex(1),Chrome 74.0.3729.169,,,2019-05-29 10:34:00,2019-05-29 10:34:00,0.031s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_Street Address _customer_addresses_primary_line1""), Address1)",Chrome 74.0.3729.169,,,2019-05-29 10:34:00,2019-05-29 10:34:03,2.904s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_First Name _customer_first_name""), firstname)",Chrome 74.0.3729.169,,,2019-05-29 10:34:03,2019-05-29 10:34:03,0.296s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_Last Name _customer_last_name""), lastname)",Chrome 74.0.3729.169,,,2019-05-29 10:34:03,2019-05-29 10:34:04,0.428s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_ZipPostal Code _customer_addresses_primary_postal_code""), canadianzip)",Chrome 74.0.3729.169,,,2019-05-29 10:34:04,2019-05-29 10:34:04,0.147s,PASSED
"selectOptionByIndex(findTestObject(""Page_ Fuse (Scott Patterson)/select_AlbertaBritish ColumbiaManitobaNew BrunswickNewfoundland and LabradorNorthwest TerritoriesNova ScotiaNunavutOntarioPrince Edward IslandQuebecSaskatchewanYukon""), 2)",Chrome 74.0.3729.169,,,2019-05-29 10:34:04,2019-05-29 10:34:04,0.200s,PASSED
OPTIONAL,Chrome 74.0.3729.169,,,2019-05-29 10:34:04,2019-05-29 10:34:04,0.005s,PASSED
"click(findTestObject(""Page_ Fuse (Scott Patterson)/label_Yes""))",Chrome 74.0.3729.169,,,2019-05-29 10:34:04,2019-05-29 10:34:04,0.090s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_City _customer_addresses_primary_city""), ""Townsville"")",Chrome 74.0.3729.169,,,2019-05-29 10:34:04,2019-05-29 10:34:04,0.193s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_Email _customer_email""), ""test@mail.com"")",Chrome 74.0.3729.169,,,2019-05-29 10:34:04,2019-05-29 10:34:05,0.523s,PASSED
delay(5),Chrome 74.0.3729.169,,,2019-05-29 10:34:05,2019-05-29 10:34:10,5.019s,PASSED
"click(findTestObject(""EncrFolder/Page_ Fuse (Scott Patterson)/button_Next Encr""))",Chrome 74.0.3729.169,,,2019-05-29 10:34:10,2019-05-29 10:34:10,0.100s,PASSED
waitForPageLoad(0),Chrome 74.0.3729.169,,,2019-05-29 10:34:10,2019-05-29 10:34:10,0.056s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-29 10:34:10,2019-05-29 10:34:10,0.134s,PASSED
,,,,,,,
Test Cases/Fuse/Embarq,Chrome 74.0.3729.169,,,2019-05-29 10:34:10,2019-05-29 10:34:29,19.008s,PASSED
"openBrowser(""http://uatfuse.clearlink.com"")",Chrome 74.0.3729.169,,,2019-05-29 10:34:10,2019-05-29 10:34:14,3.595s,PASSED
"setText(findTestObject(""Page_Clearlink Authentication/input_to Insurance_usr""), ""scott.patterson@clearlink.com"")",Chrome 74.0.3729.169,,,2019-05-29 10:34:14,2019-05-29 10:34:14,0.266s,PASSED
"setText(findTestObject(""Page_Clearlink Authentication/input_to Insurance_pwd""), ""Homer4ver"")",Chrome 74.0.3729.169,,,2019-05-29 10:34:14,2019-05-29 10:34:14,0.126s,PASSED
"click(findTestObject(""Page_Clearlink Authentication/button_Login""))",Chrome 74.0.3729.169,,,2019-05-29 10:34:14,2019-05-29 10:34:18,4.162s,PASSED
"click(findTestObject(""Page_ Fuse (Scott Patterson)/a_ENCR""))",Chrome 74.0.3729.169,,,2019-05-29 10:34:18,2019-05-29 10:34:19,0.703s,PASSED
switchToWindowIndex(1),Chrome 74.0.3729.169,,,2019-05-29 10:34:19,2019-05-29 10:34:19,0.014s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_Street Address _customer_addresses_primary_line1""), Address1)",Chrome 74.0.3729.169,,,2019-05-29 10:34:19,2019-05-29 10:34:22,2.783s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_First Name _customer_first_name""), firstname)",Chrome 74.0.3729.169,,,2019-05-29 10:34:22,2019-05-29 10:34:22,0.326s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_Last Name _customer_last_name""), lastname)",Chrome 74.0.3729.169,,,2019-05-29 10:34:22,2019-05-29 10:34:23,0.368s,PASSED
